Time,Open,High,Low,Close,Volume,Return,FGI
20230717200000,30161.7,30305.3,30034.4,30175.1,1090.1259,0.000444285,54
20230718000000,30175.2,30237.4,29653.1,29881.4,2712.8684,-0.009736434,56
20230718040000,29881.4,30286.6,29881,30136.3,823.74945,0.0085304035,56
20230718080000,30136.3,30239.6,30074.4,30074.4,565.1573,-0.0020540142,56
20230718120000,30074.4,30122.1,29925.5,29968,1012.0942,-0.0035379056,56
20230718160000,29968.1,30108.6,29806.6,29885.1,1386.6392,-0.0027696118,56
20230718200000,29885.1,30031.9,29676.4,29911,2377.9224,0.0008666657,56
20230719000000,29910.8,29962.1,29500,29714.9,2072.661,-0.0065494864,50
20230719040000,29714.9,29865.6,29692,29858,375.12967,0.0048157526,50
20230719080000,29858.1,30076.2,29839.6,30063.1,983.03015,0.0068658087,50
20230719120000,30063.1,30187.7,29967.6,30001.3,734.8621,-0.0020556373,50
20230719160000,30001.3,30045.7,29869.8,30015.7,415.8119,0.0004799271,50
20230719200000,30015.7,30129.2,29757.4,29954.4,1289.6447,-0.0020422256,50
20230720000000,29954.4,30099.9,29872,30045,745.14777,0.0030245844,56
20230720040000,30046,30056.8,29833.2,29911.8,435.56775,-0.0044664587,56
20230720080000,29911.7,30047.7,29882,29946,396.39,0.0011467346,56
20230720120000,29950.9,30237.6,29926,30202,821.76324,0.008383708,56
20230720160000,30202,30416,30166.6,30283.3,1361.3082,0.0026919006,56
20230720200000,30283.4,30318.8,29621,29806.7,2864.636,-0.015741335,56
20230721000000,29806.8,29869.4,29560.7,29757.8,1606.723,-0.0016439201,50
20230721040000,29757.9,29886.9,29671.3,29808.3,662.0989,0.001693681,50
20230721080000,29808.4,29951.2,29728.2,29899.3,724.8764,0.003049489,50
20230721120000,29899.3,29907.6,29747.8,29766,532.543,-0.0044583245,50
20230721160000,29766,29848.8,29721.5,29781.4,491.0652,0.00051738194,50
20230721200000,29781.5,29913,29779.7,29862.5,1084.3911,0.0027198093,50
20230722000000,29862.5,30059,29775.2,29875.4,941.0152,0.000431993,52
20230722040000,29878.7,29954.9,29832,29900.4,340.28912,0.00072630914,52
20230722080000,29900.4,29997.7,29892.3,29902.1,355.5764,5.6829296E-05,52
20230722120000,29902.1,29987.8,29849.6,29943.4,294.34827,0.0013812,52
20230722160000,29943.5,29977.1,29868.7,29888.1,324.83682,-0.0018501641,52
20230722200000,29886,29909.7,29830.3,29904.5,309.9471,0.0006190189,52
20230723000000,29904.6,29911.9,29801.2,29835,271.1205,-0.0023273882,54
